s_id,s_lat,s_long,numOfTrip
Metro Campus - Community Corral,45.52771962,-122.66035259999998,93
N Burrage at Killingsworth Community Corral,45.562676,-122.694604,23
N Concord at Killingsworth - Community Corral,45.56244707,-122.6848358,45
N Failing at Williams,45.55076344,-122.6668663,352
N Interstate at Willamette - Community Corral,45.56197102,-122.6820369,45
N Killingsworth at Albina,45.56282546,-122.6747467,368
N Killingsworth at Gay - Community Corral,45.5627419,-122.6889932,47
N Mason at Williams,45.55335313,-122.6669146,434
N Michigan at Killingsworth - Community Corral,45.56251948,-122.67703059999998,77
N Mississippi at Beech,45.54998583,-122.67565729999998,636
N Mississippi at N Skidmore,45.55458563,-122.67554129999999,387
N Morris at Williams,45.54471503,-122.66678449999999,345
N Prescott at Interstate,45.55522233,-122.6818612,218
N Ramsey at Center court Dr. XOXO fest popup,45.532795,-122.668224,207
N Russell at Interstate Community Corral,45.54107815,-122.6769716,89
N Vancouver at Alberta,45.55941042,-122.6685226,336
N Williams at Fremont,45.5475928,-122.6667604,877
NE 10th at Halsey -- Community Corral,45.534006,-122.65556799999999,48
NE 11th at Holladay Park,45.53027884,-122.654669,538
NE 14th Pl at Prescott - Community Corral,45.55568352,-122.65066440000001,67
NE 15th at Broadway,45.53508224,-122.6505639,658
NE 17th at Killingsworth - Community Corral,45.56274555,-122.64805940000001,102
NE 22nd at Burnside,45.52297292,-122.6434118,484
NE 22nd at Thompson - Community Corral (Irvington Tennis Club),45.538936,-122.64328799999998,56
NE 28th at Couch - Community Corral,45.52373453,-122.63720649999999,172
NE 28th at Glisan- Community Corral,45.526434,-122.636245,104
NE 2nd at NE Schuyler,45.53561394,-122.66363429999998,280
NE 30th at Glisan - Community Corral,45.52643,-122.63471899999999,40
NE 33rd at Emerson - Community Corral,45.56138522,-122.6303306,32
NE 33rd at Jarrett (Kennedy School) - Community Corral,45.56453067,-122.63053719999999,111
NE 41st at Sandy Blvd (Hollywood Theatre) Community Corral,45.535778,-122.62061299999999,78
NE 42nd at Hancock  - Community Corral,45.536584000000005,-122.61996699999999,11
NE 43rd at Hancock - Community Corral,45.536584999999995,-122.61861999999999,48
NE 48th at Fremont - Community Corral,45.548307,-122.613677,39
NE 50th at Fremont - Community Corral,45.548276,-122.61116399999999,67
NE Alberta at 10th - Community Corral,45.55913676,-122.6554307,116
NE Alberta at 14th - Community Corral,45.55916922,-122.65143159999998,136
NE Alberta at 17th - Community Corral,45.55907103,-122.64754369999999,137
NE Alberta at 22nd - Community Corral,45.55905507,-122.6427104,263
NE Alberta at 24th - Community Corral,45.55908767,-122.6407517,67
NE Alberta at NE 29th/30th - Community Corral,45.55902314,-122.63554620000001,78
NE Broadway at 12th,45.53496857,-122.653631,422
NE Couch at MLK,45.52358836,-122.66191770000002,565
NE Cully at Killingsworth - Community Corral,45.562507000000004,-122.59437,7
NE Fremont at 15th - Community Corral,45.54828551,-122.65081059999999,179
NE Glisan at 24th,45.52649493,-122.6416328,396
NE Going at Grand,45.55645437,-122.6603794,448
NE Holladay at MLK,45.52990305,-122.6628363,481
NE Killingsworth at 30th - Community Corral,45.56271655,-122.6350486,70
NE MLK at Knott,45.54179953,-122.6614845,714
NE Multnomah at 9th,45.53140997,-122.6574612,709
NE Multnomah at Grand,45.53146071,-122.659741,367
NE Sandy at 16th,45.52440674,-122.6497686,435
NE Wheeler at Multnomah,45.53086696,-122.66588870000001,652
NW 10th at Everett,45.52500056,-122.6811048,744
NW 11th at The Fields,45.53232501,-122.68242990000002,1084
NW 13th at Marshall,45.53080401,-122.6844227,1829
NW 18th at Flanders,45.52556242,-122.6892561,806
NW 18th at Northrup,45.53142501,-122.6895659,895
NW 19th at Johnson,45.52862062,-122.69050729999998,772
NW 20th at Burnside,45.52331306,-122.6932633,1089
NW 21st at Johnson,45.52826831,-122.6945615,575
NW 22nd at Lovejoy,45.52976024,-122.6966429,661
NW 23rd at Overton,45.53211645,-122.6986304,891
NW 2nd at Everett,45.52536699,-122.6725459,938
NW 4th at Couch,45.52378902,-122.6747386,1
NW Broadway at Everett,45.52507854,-122.6775563,1036
NW Couch at 11th,45.52374151,-122.6818129,1569
NW Couch at 2nd,45.52389222,-122.6721824,877
NW Everett at 22nd,45.52487653,-122.69651409999999,1757
NW Flanders at 14th,45.52579919,-122.68550630000001,852
NW Front at 17th,45.53715171,-122.6881027,865
NW Glisan at 21st,45.52634601,-122.69414840000002,892
NW Johnson at Jamison Square,45.528636600000006,-122.68201950000001,973
NW Kearney at 23rd,45.52914205,-122.69870279999999,899
NW Marshall at Tanner Springs Park,45.53083126,-122.68159569999999,1157
NW Naito at Ironside,45.52871176,-122.67416599999999,822
NW Nicolai at Sherlock Community Corral,45.541258,-122.69667199999999,22
